Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000018,"California Pacific Medical Center, Mission Bernal Campus",Acute Care Hospital,Major Teaching,3,7.79,9960
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000022,"California Pacific Medical Center, Van Ness Campus",Acute Care Hospital,Major Teaching,30,27.97,34839
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000003,Chinese Hospital,Acute Care Hospital,"Community, <125 Beds",3,1.5,2507
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000008,"Kaiser Foundation Hospital, San Francisco",Acute Care Hospital,Major Teaching,3,16.58,27510
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),630016625,Kentfield Hospital San Francisco,Long-Term Acute Care Hospital,Long-Term Acute Care,10,7.4,6097
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000012,Laguna Honda Hospital & Rehabilitation Center,Acute Care Hospital,"Community, <125 Beds",0,0.09,411
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000012,Laguna Honda Hospital & Rehabilitation Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.21,392
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000029,Saint Francis Memorial Hospital,Acute Care Hospital,"Community, 125-250 Beds",1,5.21,9080
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000029,Saint Francis Memorial Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.46,4080
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000030,St. Mary's Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,5.07,7709
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000030,St. Mary's Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.64,1777
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000031,UCSF Medical Center,Acute Care Hospital,Major Teaching,27,34.45,68984
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),630015778,UCSF Medical Center at Mission Bay,Acute Care Hospital,Major Teaching,13,14.86,33253
2020H1,California,San Francisco,Clostridioides difficile Infection (CDI),220000019,Zuckerberg San Francisco General Hospital and Trauma Center,Acute Care Hospital,Major Teaching,23,28.95,42126
2020H1,California,San Joaquin,Clostridioides difficile Infection (CDI),030000139,Adventist Health Lodi Memorial,Acute Care Hospital,"Community, 125-250 Beds",,,
2020H1,California,San Joaquin,Clostridioides difficile Infection (CDI),030000117,Dameron Hospital,Acute Care Hospital,"Community, 125-250 Beds",3,2.96,7342
2020H1,California,San Joaquin,Clostridioides difficile Infection (CDI),030000118,Doctors Hospital of Manteca,Acute Care Hospital,"Community, <125 Beds",0,2.49,7269
2020H1,California,San Joaquin,Clostridioides difficile Infection (CDI),030000973,"Kaiser Foundation Hospital, Manteca",Acute Care Hospital,"Community, <125 Beds",0,2,3904
2020H1,California,San Joaquin,Clostridioides difficile Infection (CDI),030000135,San Joaquin General Hospital,Acute Care Hospital,Major Teaching,2,8.23,19941
2020H1,California,San Joaquin,Clostridioides difficile Infection (CDI),030000143,St. Joseph's Medical Center Of Stockton,Acute Care Hospital,"Community, >250 Beds",6,17.62,39205
2020H1,California,San Joaquin,Clostridioides difficile Infection (CDI),030000141,Sutter Tracy Community Hospital,Acute Care Hospital,"Community, <125 Beds",1,3.43,6292
2020H1,California,San Luis Obispo,Clostridioides difficile Infection (CDI),050000016,French Hospital Medical Center,Acute Care Hospital,"Community, <125 Beds",4,4.57,8540
2020H1,California,San Luis Obispo,Clostridioides difficile Infection (CDI),050000009,"Marian Regional Medical Center, Arroyo Grande",Acute Care Hospital,"Community, <125 Beds",0,1.17,3073
2020H1,California,San Luis Obispo,Clostridioides difficile Infection (CDI),050000009,"Marian Regional Medical Center, Arroyo Grande",Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.61,3113
2020H1,California,San Luis Obispo,Clostridioides difficile Infection (CDI),050000031,Sierra Vista Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,5.01,9049
2020H1,California,San Luis Obispo,Clostridioides difficile Infection (CDI),050000037,Tenet Health Central Coast Twin Cities Community Hospital,Acute Care Hospital,"Community, <125 Beds",3,5.23,7442
2020H1,California,San Mateo,Clostridioides difficile Infection (CDI),220000026,AHMC Seton Medical Center,Acute Care Hospital,"Community, 125-250 Beds",3,4.21,8972
2020H1,California,San Mateo,Clostridioides difficile Infection (CDI),220000010,"Kaiser Foundation Hospital, Redwood City",Acute Care Hospital,Major Teaching,0,7.49,12979
2020H1,California,San Mateo,Clostridioides difficile Infection (CDI),220000009,"Kaiser Foundation Hospital, South San Francisco",Acute Care Hospital,"Community, <125 Beds",0,6.25,10813
2020H1,California,San Mateo,Clostridioides difficile Infection (CDI),220000716,Menlo Park Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.02,118
2020H1,California,San Mateo,Clostridioides difficile Infection (CDI),220000017,Mills-Peninsula Medical Center,Acute Care Hospital,"Community, 125-250 Beds",3,12.55,21551
2020H1,California,San Mateo,Clostridioides difficile Infection (CDI),220000007,San Mateo Medical Center,Acute Care Hospital,"Community, <125 Beds",2,1.69,5446
2020H1,California,San Mateo,Clostridioides difficile Infection (CDI),220000025,Sequoia Hospital,Acute Care Hospital,"Community, 125-250 Beds",0,3.33,9243
2020H1,California,Santa Barbara,Clostridioides difficile Infection (CDI),050000017,Goleta Valley Cottage Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.49,1704
2020H1,California,Santa Barbara,Clostridioides difficile Infection (CDI),050000018,Lompoc Valley Medical Center,Acute Care Hospital,Major Teaching,0,1.59,4033
2020H1,California,Santa Barbara,Clostridioides difficile Infection (CDI),050000021,Marian Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",3,14.31,23948
2020H1,California,Santa Barbara,Clostridioides difficile Infection (CDI),050000280,Santa Barbara Cottage Hospital,Acute Care Hospital,Major Teaching,5,17.01,31650
2020H1,California,Santa Barbara,Clostridioides difficile Infection (CDI),050000280,Santa Barbara Cottage Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,1,1.16,4341
2020H1,California,Santa Barbara,Clostridioides difficile Infection (CDI),050000030,Santa Ynez Valley Cottage Hospital,Critical Access Hospital,Critical Access,0,0.04,160
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070001351,El Camino Health,Acute Care Hospital,"Community, >250 Beds",7,14.54,31246
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000136,El Camino Health Los Gatos,Acute Care Hospital,"Community, 125-250 Beds",1,1.72,5187
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000136,El Camino Health Los Gatos,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.21,3832
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000153,"Good Samaritan Hospital, San Jose",Acute Care Hospital,"Community, >250 Beds",2,13.19,28685
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000150,"Kaiser Foundation Hospital, San Jose",Acute Care Hospital,"Community, 125-250 Beds",2,13.66,20734
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070001355,"Kaiser Foundation Hospital, Santa Clara",Acute Care Hospital,Major Teaching,11,24.82,38175
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070001349,Lucile Packard Children's Hospital Stanford,Acute Care Hospital,Pediatric,17,14.36,35838
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000154,Mission Oaks Hospital,Acute Care Hospital,"Community, <125 Beds",0,0,0
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000154,Mission Oaks Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.81,2484
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000146,O'Connor Hospital,Acute Care Hospital,Major Teaching,8,12.86,19151
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000133,Regional Medical Center of San Jose,Acute Care Hospital,"Community, >250 Beds",3,17.18,34591
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000149,Santa Clara Valley Medical Center,Acute Care Hospital,Major Teaching,16,32.15,44213
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000149,Santa Clara Valley Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,3,3.92,7593
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070000635,St. Louise Regional Hospital,Acute Care Hospital,"Community, <125 Beds",1,2.76,5138
2020H1,California,Santa Clara,Clostridioides difficile Infection (CDI),070001357,Stanford Health Care,Acute Care Hospital,Major Teaching,26,40.21,74416
2020H1,California,Santa Cruz,Clostridioides difficile Infection (CDI),070000139,Dominican Hospital,Acute Care Hospital,"Community, 125-250 Beds",5,8.55,19483
2020H1,California,Santa Cruz,Clostridioides difficile Infection (CDI),070000139,Dominican Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.22,3171
2020H1,California,Santa Cruz,Clostridioides difficile Infection (CDI),070000959,Sutter Maternity & Surgery Center of Santa Cruz,Acute Care Hospital,"Community, <125 Beds",0,0.35,1607
2020H1,California,Santa Cruz,Clostridioides difficile Infection (CDI),070000155,Watsonville Community Hospital,Acute Care Hospital,"Community, <125 Beds",1,1.69,5567
2020H1,California,Shasta,Clostridioides difficile Infection (CDI),230000009,Mayers Memorial Hospital,Critical Access Hospital,Critical Access,0,0.12,553
2020H1,California,Shasta,Clostridioides difficile Infection (CDI),230000010,Mercy Medical Center Redding,Acute Care Hospital,"Community, >250 Beds",4,10.68,22177
2020H1,California,Shasta,Clostridioides difficile Infection (CDI),230000444,Patients' Hospital of Redding,Acute Care Hospital,"Community, <125 Beds",0,0.04,201
2020H1,California,Shasta,Clostridioides difficile Infection (CDI),230000016,Shasta Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",1,7.86,13230
2020H1,California,Shasta,Clostridioides difficile Infection (CDI),230000422,Vibra Hospital of Northern California,Long-Term Acute Care Hospital,Long-Term Acute Care,5,5.29,6273
2020H1,California,Siskiyou,Clostridioides difficile Infection (CDI),230000019,Fairchild Medical Center,Critical Access Hospital,Critical Access,1,0.85,1880
2020H1,California,Siskiyou,Clostridioides difficile Infection (CDI),230000012,Mercy Medical Center Mt. Shasta,Critical Access Hospital,Critical Access,1,0.27,1204
2020H1,California,Solano,Clostridioides difficile Infection (CDI),110000011,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Acute Care Hospital,Major Teaching,5,11.84,17454
2020H1,California,Solano,Clostridioides difficile Infection (CDI),110000011,"Kaiser Foundation Hospital and Rehab Center, Vallejo",Rehabilitation Hospital or Unit,Rehabilitation Unit,0,3.72,7206
2020H1,California,Solano,Clostridioides difficile Infection (CDI),630012364,"Kaiser Foundation Hospital, Vacaville",Acute Care Hospital,Major Teaching,5,10.2,14708
2020H1,California,Solano,Clostridioides difficile Infection (CDI),110000010,Northbay Medical Center,Acute Care Hospital,"Community, 125-250 Beds",6,10.87,16471
2020H1,California,Solano,Clostridioides difficile Infection (CDI),110000378,Northbay Vacavalley Hospital,Acute Care Hospital,"Community, <125 Beds",0,4.1,6123
2020H1,California,Solano,Clostridioides difficile Infection (CDI),110000068,Sutter Solano Medical Center,Acute Care Hospital,"Community, <125 Beds",3,5.51,9240
2020H1,California,Sonoma,Clostridioides difficile Infection (CDI),110000009,Healdsburg Hospital,Critical Access Hospital,Critical Access,0,0.24,1065
2020H1,California,Sonoma,Clostridioides difficile Infection (CDI),110000508,"Kaiser Foundation Hospital, Santa Rosa",Acute Care Hospital,Major Teaching,3,10.81,18033
2020H1,California,Sonoma,Clostridioides difficile Infection (CDI),110000040,Petaluma Valley Hospital,Acute Care Hospital,"Community, <125 Beds",1,2.17,4939
2020H1,California,Sonoma,Clostridioides difficile Infection (CDI),140001268,Providence Santa Rosa Memorial Hospital,Acute Care Hospital,"Community, >250 Beds",4,12.66,28218
2020H1,California,Sonoma,Clostridioides difficile Infection (CDI),140001268,Providence Santa Rosa Memorial Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.66,1718
2020H1,California,Sonoma,Clostridioides difficile Infection (CDI),110000038,Sonoma Specialty Hospital,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Sonoma,Clostridioides difficile Infection (CDI),110000056,Sonoma Valley Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.49,1398
2020H1,California,Sonoma,Clostridioides difficile Infection (CDI),110000007,Sutter Santa Rosa Regional Hospital,Acute Care Hospital,"Community, <125 Beds",9,10.86,12548
2020H1,California,Stanislaus,Clostridioides difficile Infection (CDI),030000129,Central Valley Specialty Hospital,Long-Term Acute Care Hospital,Long-Term Acute Care,,,
2020H1,California,Stanislaus,Clostridioides difficile Infection (CDI),030000122,Doctors Medical Center,Acute Care Hospital,"Community, >250 Beds",27,31.44,45128
2020H1,California,Stanislaus,Clostridioides difficile Infection (CDI),030000125,Emanuel Medical Center,Acute Care Hospital,"Community, 125-250 Beds",4,11.28,16860
2020H1,California,Stanislaus,Clostridioides difficile Infection (CDI),630016419,Encompass Health Rehabilitation Hospital of Modesto,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,3,2.33,5866
2020H1,California,Stanislaus,Clostridioides difficile Infection (CDI),630011683,"Kaiser Foundation Hospital, Modesto",Acute Care Hospital,"Community, 125-250 Beds",2,10.94,18128
2020H1,California,Stanislaus,Clostridioides difficile Infection (CDI),030000123,Memorial Medical Center,Acute Care Hospital,"Community, >250 Beds",13,27.24,43660
2020H1,California,Stanislaus,Clostridioides difficile Infection (CDI),030000131,Oak Valley Hospital District,Acute Care Hospital,"Community, <125 Beds",0,0.45,1232
2020H1,California,Stanislaus,Clostridioides difficile Infection (CDI),030001661,Stanislaus Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.04,254
2020H1,California,Sutter,Clostridioides difficile Infection (CDI),630011844,"Sutter Surgical Hospital, North Valley",Acute Care Hospital,"Community, <125 Beds",0,0.07,486
2020H1,California,Tehama,Clostridioides difficile Infection (CDI),230000020,St. Elizabeth Community Hospital,Acute Care Hospital,Major Teaching,0,0.93,4348
2020H1,California,Trinity,Clostridioides difficile Infection (CDI),230000022,Trinity Hospital,Critical Access Hospital,Critical Access,0,0.22,990
2020H1,California,Tulare,Clostridioides difficile Infection (CDI),120001467,Adventist Health Tulare,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Tulare,Clostridioides difficile Infection (CDI),120001444,Kaweah Delta Medical Center,Acute Care Hospital,Major Teaching,,,
2020H1,California,Tulare,Clostridioides difficile Infection (CDI),170001874,Porterville Developmental Center,Acute Care Hospital,"Community, <125 Beds",0,0.02,97
2020H1,California,Tulare,Clostridioides difficile Infection (CDI),120001464,Sierra View Medical Center,Acute Care Hospital,"Community, 125-250 Beds",5,5.28,8670
2020H1,California,Tuolumne,Clostridioides difficile Infection (CDI),030001799,Adventist Health Sonora,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),050000455,Adventist Health Simi Valley,Acute Care Hospital,"Community, 125-250 Beds",0,3.5,9075
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),050000014,"Community Memorial Hospital, San Buenaventura",Acute Care Hospital,Major Teaching,30,29.56,23589
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),050000020,Los Robles Hospital & Medical Center,Acute Care Hospital,"Community, >250 Beds",3,14.2,30516
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),050000553,"Los Robles Hospital & Medical Center, East Campus",Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,1,1.67,6381
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),050000023,Ojai Valley Community Hospital,Critical Access Hospital,Critical Access,1,0.08,359
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),050000026,St Johns Pleasant Valley Hospital,Acute Care Hospital,"Community, <125 Beds",2,2.23,7457
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),050000035,St Johns Regional Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,8.52,19610
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),050000035,St Johns Regional Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,1.12,2917
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),050001468,Thousand Oaks Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.08,728
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),050000039,Ventura County Medical Center,Acute Care Hospital,Major Teaching,8,8.34,13959
2020H1,California,Ventura,Clostridioides difficile Infection (CDI),630010957,"Ventura County Medical Center, Santa Paula Hospital",Acute Care Hospital,Major Teaching,0,1.18,1846
2020H1,California,Yolo,Clostridioides difficile Infection (CDI),030000149,Sutter Davis Hospital,Acute Care Hospital,"Community, <125 Beds",1,2.42,5578
2020H1,California,Yolo,Clostridioides difficile Infection (CDI),030000146,Woodland Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,2.96,5369
2020H1,California,Yuba,Clostridioides difficile Infection (CDI),230000261,Adventist Health and Rideout,Acute Care Hospital,"Community, 125-250 Beds",3,12.15,27860

